og_distance,og_popularity,xi_level_0,xi_level_0.25,xi_level_0.5,xi_level_0.75,xi_level_1
6.97851,-32.961,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.75585,-26.6026,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.81771,-28.2209,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.89906,-4.84566,-1.84798,-2.80128,-3.20216,-3.43418,-3.58235
6.05036,-13.4897,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.84389,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.82201,-28.3629,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.8998,-11.6345,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.02188,-34.3569,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.84377,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.49636,-20.7255,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.85752,-11.2573,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.02188,-34.3682,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.24638,-16.3275,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.93878,-12.228,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.89725,-30.2901,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.73595,-26.1057,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.7334,-26.0301,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.37682,-7.33078,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
6.06997,-13.8086,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.95113,-12.2876,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.31567,-17.357,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.9545,-32.0914,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.83717,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.11566,-37.7613,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.4019,-18.933,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.48064,-7.80364,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
6.72827,-25.8309,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.86693,-29.5618,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.12457,-14.5524,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.5085,-20.9685,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.69359,-25.0576,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.47543,-20.3,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.34425,-17.9202,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.81121,-28.0785,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.95113,-12.3695,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.95614,-32.3084,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.41654,-19.042,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.37682,-7.3319,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
5.93878,-12.2261,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.39693,-18.6855,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.55434,-21.7528,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.58271,-22.5168,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.3647,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.04025,-13.4232,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.89906,-4.86881,-1.84798,-2.80128,-3.20216,-3.43418,-3.58235
5.59221,-8.89303,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.48064,-8.00966,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
7.02188,-34.3681,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.17379,-15.0855,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.24564,-6.52253,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
6.77264,-27.0387,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.58615,-22.5915,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.95113,-12.3696,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.8766,-29.7517,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.3652,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.92756,-31.2722,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.81986,-28.2356,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.85752,-11.3393,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.20662,-41.0524,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.42606,-19.3751,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.77264,-27.0499,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.12457,-14.3936,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
